month,revenue,mom_growth_pct
2014-01,14236.9,
2014-02,4519.89,-68.25
2014-03,55691.01,1132.13
2014-04,28295.35,-49.19
2014-05,23648.29,-16.42
2014-06,34595.13,46.29
2014-07,33946.39,-1.88
2014-08,27909.47,-17.78
2014-09,81777.35,193.01
2014-10,31453.39,-61.54
2014-11,78628.72,149.98
2014-12,69545.62,-11.55
2015-01,18174.08,-73.87
2015-02,11951.41,-34.24
2015-03,38726.25,224.03
2015-04,34195.21,-11.7
2015-05,30131.69,-11.88
2015-06,24797.29,-17.7
2015-07,28765.33,16
2015-08,36898.33,28.27
2015-09,64595.92,75.06
2015-10,31404.92,-51.38
2015-11,75972.56,141.91
2015-12,74919.52,-1.39
2016-01,18542.49,-75.25
2016-02,22978.82,23.93
2016-03,51715.88,125.06
2016-04,38750.04,-25.07
2016-05,56987.73,47.06
2016-06,40344.53,-29.2
2016-07,39261.96,-2.68
2016-08,31115.37,-20.75
2016-09,73410.02,135.93
2016-10,59687.75,-18.69
2016-11,79411.97,33.05
2016-12,96999.04,22.15
2017-01,43971.37,-54.67
2017-02,20301.13,-53.83
2017-03,58872.35,190
2017-04,36521.54,-37.96
2017-05,44261.11,21.19
2017-06,52981.73,19.7
2017-07,45264.42,-14.57
2017-08,63120.89,39.45
2017-09,87866.65,39.2
2017-10,77776.92,-11.48
2017-11,118447.82,52.29
2017-12,83829.32,-29.23
